episode,total_reward
733,-32.18089466450063
734,-17.200648510738656
735,-15.969700400974812
736,-26.208894335913563
737,-26.660249376852743
738,-34.2583018608304
739,-16.556251319012407
740,-20.767972233867543
741,-27.643311476189933
742,-17.150162354078812
743,-14.383552926696694
744,-21.31642407443281
745,-21.684157190278334
746,-31.518051288446898
747,-25.27622154473084
748,-29.84422149993876
749,-33.370961858571675
750,-23.671965939466695
751,-13.284458147018693
752,-23.065144788862202
753,-23.33156228843236
754,-34.50590964382481
755,-15.361417578930155
756,-16.160338961882893
757,-21.886105923210835
758,-33.79508924526607
759,-29.814356491274626
760,-15.0879082229883
761,-34.04551496720778
762,-26.93181623283659
763,-14.887616828888575
764,-31.69833466409723
765,-15.653825575836004
766,-27.397712984610962
767,-22.2881224491028
768,-25.122736916584838
769,-30.87630285314086
770,-13.385115819217717
771,-14.046776554264097
772,-31.91913754132866
773,-26.286811594190183
774,-30.36629768148452
775,-33.419721783574346
776,-32.45905158770311
777,-17.33732077736496
778,-20.93766767860425
779,-19.79477279232283
780,-33.40519022728699
781,-23.751138369312926
782,-34.487786190011484
783,-24.748036185923645
784,-34.465988002106165
785,-33.24807962675767
786,-14.611495394812607
787,-33.62037307942729
788,-16.607881317451444
789,-23.73601453351087
790,-34.00636880508467
791,-29.60348897607711
792,-13.094670975381856
793,-16.555545777940424
794,-34.980769481526515
795,-27.3978456211723
796,-13.488936882297274
797,-25.548324750438407
798,-33.23763421963735
799,-26.07564371481681
800,-32.7758189041403
801,-29.979480783890857
802,-23.189815442856197
803,-13.464938252450413
804,-23.34293671604902
805,-27.988282195675815
806,-28.46972082265019
807,-27.240591359432738
808,-13.310336903721561
809,-26.332951664397893
810,-19.51703417761841
811,-27.371426707399962
812,-24.28091284119656
813,-26.6390450915776
814,-25.79586814335284
815,-18.132547058885937
816,-14.155480056929107
817,-32.906158447492906
818,-27.8745589677216
819,-19.792085917608276
820,-24.78458249448432
821,-19.419567320110794
822,-14.368979043165806
823,-23.144523178125095
824,-14.950047843254461
825,-23.01798883877675
826,-15.49051926929533
827,-33.65084397318754
828,-29.139500323244725
829,-19.956754993164594
830,-18.290051127627095
831,-18.40625070490362
832,-15.667918792729093
833,-15.001493248868542
834,-20.221893947306597
835,-23.172039834772683
836,-25.547841865184616
837,-21.8323955386243
838,-28.363960125728383
839,-16.323644939155884
840,-21.98417183581654
841,-29.522966258623654
842,-25.366762521619215
843,-16.994447664580385
844,-32.337258960034106
845,-13.472462532561018
846,-27.007064862998266
847,-26.996283508308057
848,-33.39806427471497
849,-20.350910675142536
850,-26.009216524659028
851,-19.027137689542116
852,-26.079604999492876
853,-33.35419539905819
854,-20.85850644365459
855,-28.651889831586693
856,-32.36805943983467
857,-27.62030884491393
858,-20.315335349915628
859,-17.74432564278516
860,-28.544959445828542
861,-20.077286435280435
862,-18.832854261192395
863,-14.032154825881488
864,-22.144107143672212
865,-25.401157493513416
866,-29.813610836902217
867,-24.376375739451575
868,-32.41406769722361
869,-23.6127630953307
870,-26.729309365981344
871,-35.2403408997558
872,-24.940921631766592
873,-33.45658547328743
874,-30.782473187421523
875,-25.86490005130522
876,-33.40290219228327
877,-16.200851216933142
878,-27.924503162643287
879,-32.76386417545595
880,-31.171054903337165
881,-21.824190855093743
882,-17.26677318758818
883,-28.07893319947661
884,-29.31842173507188
885,-14.087127007705742
886,-30.12886861716903
887,-16.991042253875975
888,-23.248219314681357
889,-34.31627561232694
890,-22.516441741928908
891,-21.425691578599384
892,-31.10679206576846
893,-28.922858184609982
894,-21.860556861540452
895,-33.05800706667234
896,-19.20010210663098
897,-14.277458392141103
898,-34.62647252945406
899,-19.02359169503419
900,-22.075641243454037
901,-17.76415144321986
902,-19.714784894107616
903,-21.601705862101248
904,-29.39185323457326
905,-27.32648491279388
906,-34.33414637278286
907,-27.13847217776945
908,-30.66733242725102
909,-24.16793160707704
910,-34.52045172397064
911,-14.624986467266085
912,-32.76626339938891
913,-23.284094221738158
914,-28.489835876424014
915,-33.70804000688881
916,-25.606719038538287
917,-22.073282687138075
918,-22.751508454663572
919,-23.227799717289866
920,-32.3198407542243
921,-33.76123427261618
922,-18.623377981465666
923,-20.580328192571933
924,-15.280164029979993
925,-18.0596058385945
926,-16.39856813043899
927,-32.47765149703275
928,-17.390950952422653
929,-32.9964026801469
930,-22.797087326511136
931,-24.90138580278323
932,-24.231172584854807
933,-27.83757960555381
934,-29.652478836909882
935,-17.312882318189324
936,-18.580700323988275
937,-29.65294120250661
938,-26.654532943711285
939,-19.219397681202846
940,-20.679958772650558
